registration_number_edessb,reason
EX01:3271-2170-7650-4174,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:3355-3206-6268-8844,"Зміна стадій проектування: first_design = 2, last_design = 3; first_stage = проект (П), last_stage = проект (П)"
EX01:3367-4046-2388-9529,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = робоча документація (Р), last_stage = проект (П)"
EX01:3399-1927-6926-7501,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:3410-4050-6922-7677,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:3628-4906-4858-5990,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:3752-9941-1981-2695,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = проект (П)"
EX01:3919-7866-1085-3064,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = ескізний проект (ЕП)"
EX01:3934-9980-3228-6755,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:3939-9603-0070-1501,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:4087-8550-6297-6384,"Зміна стадій проектування: first_design = 3, last_design = 3; first_stage = проект (П), last_stage = робочий проект (РП)"
EX01:4131-5127-9762-7944,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:4227-1976-9988-4571,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:4380-6632-3567-6027,"Зміна стадій проектування: first_design = 3, last_design = 2; first_stage = проект (П), last_stage = проект (П)"
EX01:4426-2968-8131-7782,"Зміна стадій проектування: first_design = 1, last_design = 3; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:4500-6480-4892-0515,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = робоча документація (Р)"
EX01:4536-2919-1926-7587,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:4648-8899-0498-9724,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:4754-4765-8040-6855,"Зміна стадій проектування: first_design = 2, last_design = 1; first_stage = проект (П), last_stage = проект (П)"
EX01:4771-7402-6580-9711,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робочий проект (РП)"
EX01:4827-3137-6705-6836,"Зміна стадій проектування: first_design = 1, last_design = 1; first_stage = робочий проект (РП), last_stage = робоча документація (Р)"
EX01:4899-7138-0263-4800,"Зміна стадій проектування: first_design = 2, last_design = 2; first_stage = проект (П), last_stage = робоча документація (Р)"
