;Column;Non-Null %
219;Площа під господарськими та допоміжними будівлями, м2 (примітка);0.15
220;Кількість осіб зовні об`єкта, осіб (примітка);0.14
221;Довжина проектованої ділянки, м;0.14
222;Потужність об'єкта у натуральних показниках, од;0.14
223;Площа квартир у будинку, м2;0.14
224;Мінімальний радіус, м;0.14
225;Загальна площа чотирикімнатних квартир, м2 (примітка);0.14
226;Будівельна довжина, м;0.13
227;Кількість п’ятикімнатних квартир, од (примітка);0.13
228;Житлова площа п’ятикімнатних квартир, м2 (примітка);0.13
229;Опалювана площа, м2 (примітка);0.13
230;Загальна площа афальтобетонного покриття, м2;0.12
231;Загальна площа покриття, в тому числі, м2 (примітка);0.12
232;Площа під основною будівлею, м2 (примітка);0.12
233;Кількість восьмикімнатних і більше квартир, од (примітка);0.12
234;Загальна площа восьмикімнатних і більше квартир, м2 (примітка);0.12
235;Потужність об'єкта у натуральних показниках, од (примітка);0.12
236;Загальна площа п’ятикімнатних квартир, м2 (примітка);0.12
237;Мінімальний радіус, м (примітка);0.11
238;Площа вимощення, м2;0.11
239;Річна потреба в холодному водопостачанні, тис.м3;0.11
240;Довжина, м (примітка);0.11
241;Вартість основних фондів об'єкта будівництва, тис. грн;0.11
242;Протяжність вулиці (дороги), м;0.11
243;Кількість робочих місць, у т.ч. новостворених, шт (примітка);0.11
244;Загальна площа шестикімнатнатних квартир, м2 (примітка);0.11
245;Загальна площа семикімнатних квартир, м2 (примітка);0.11
246;Житлова площа восьмикімнатних і більше квартир, м2 (примітка);0.11
247;Кількість семикімнатних квартир, од (примітка);0.11
248;Житлова площа шестикімнатнатних квартир, м2 (примітка);0.11
249;Опалювальний будівельний об'єм, м3 (примітка);0.11
250;Кількість шестикімнатнатних квартир, од (примітка);0.11
251;Річне споживання теплової енергії, Гкал/рік;0.11
252;Житлова площа семикімнатних квартир, м2 (примітка);0.11
253;Загальна площа підземного паркінгу, м2;0.11
254;Площа ділянки в межах проектування(проєкту), га;0.11
255;Ширина, м;0.1
256;Загальна площа вбудовано-прибудованих приміщень, м2;0.1
257;Річна потреба водовідведення стічних вод, м3;0.1
258;Кількість смуг руху, шт;0.1
259;Категорія, (примітка);0.1
260;Середня швидкість руху автомобільного транспорту, км/год;0.1
261;Площа утеплення фасадів, м2;0.09
262;Ступінь вогнестійкості об’єкту будівництва, (примітка);0.09
263;Ширина смуги руху, м;0.09
264;Річна потреба в газопостачанні, МВт·год;0.09
265;Ширина, м (примітка);0.09
266;Дорожні знаки, шт;0.09
267;Термін експлуатації, р. (примітка);0.09
268;Продуктивність, (примітка);0.09
269;Площа ділянки в межах проектування(проєкту), м2;0.09
270;Продуктивність,;0.09
271;Пропускна здатність,;0.09
272;Площа тротуарів, м2;0.09
273;Світлофори, од;0.09
274;Поздовжній ухил проїзної частини, ‰,;0.09
275;Ширина проїзної частини, м (примітка);0.08
276;Кількість приміщень, од (примітка);0.08
277;Кількість квартир, шт (примітка);0.08
278;Термін першого планового обстеження технічного стану будівлі, міс (примітка);0.08
279;Встановлена потужність струмоприймачів, кВт;0.08
280;Загальна кількість приміщень, (примітка);0.08
281;Загальна протяжність, м;0.08
282;Рекомендована періодичність планових обстежень, міс;0.08
283;Напруга, кВ;0.08
284;Пропускна здатність, (примітка);0.08
285;Річна потреба, (примітка);0.07
286;Площа з плитковим покриттям, м2;0.07
287;Граничне розрахункове значення навантажень для  конструкцій перекриттів, кг/м2;0.07
288;Вартість, тис. грн (примітка);0.07
289;Поперечний ухил проїзної частини, ‰,;0.07
290;Балансова вартість, тис. грн;0.07
291;Площа озеленення, м2 (примітка);0.07
292;Загальна довжина, м;0.07
293;Світлофори, од (примітка);0.07
294;Витрати на машини, обладнання та інвентар, тис. грн;0.07
295;Матеріал стін, (примітка);0.07
296;Площа фасадів, м2;0.07
297;Загальна площа нежитлових будівель об’єкта, м2 (примітка);0.07
298;Площа тротуару, м2;0.07
299;Ширина проїжджої частини, м (примітка);0.07
300;Річна потреба,;0.07
301;Ширина узбіччя, м (примітка);0.07
302;Пропускна спроможність, осіб/добу (примітка);0.07
303;Категорія вулиці, (примітка);0.06
304;Вид будівництва,;0.06
305;Поздовжній ухил проїзної частини, ‰, (примітка);0.06
306;Довжина, пог.м;0.06
307;Площа покриття даху, м2 (примітка);0.06
308;Ширина тротуару праворуч за ходом кілометражу, м;0.06
309;Протяжність об'єкта, м;0.06
310;Довжина огородження, м;0.06
311;Будівельна довжина, м (примітка);0.06
312;Граничне експлуатаційне значення навантажень для  конструкцій перекриттів, кг/м2;0.06
313;Площа даху, м2;0.06
314;Категорія,;0.06
315;Річна витрата палива умовного, тис.т.;0.06
316;Площа покриття проїзної частини, м2 (примітка);0.06
317;Умовний термін експлуатації, р.;0.06
318;Річна потреба в побутовій каналізації, тис.м3;0.06
319;Граничне розрахункове значення навантажень для  конструкцій покриття, кг/м2;0.05
320;Площа будинку, м2;0.05
321;Річна потреба в тепловій енергії, МВт·год;0.05
322;Площа допоміжних приміщень загального користування, м2 (примітка);0.05
323;Умовна висота, м (примітка);0.05
324;Кількість номерів Апартамент, шт;0.05
325;Площа покриття з асфальтобетону, м2 (примітка);0.05
326;Площа житлового будинку, м2 (примітка);0.05
327;Загальний показник питомого енергоспоживання при опаленні та  охолодженні (ЕPuse), кВт × год/м2 [кВт × год/м3],;0.05
328;Площа під спорудами, м2 (примітка);0.05
329;Радіус, м (примітка);0.05
330;Площа приміщень(місць) загального користування, м2 (примітка);0.05
331;Висота огородження, м;0.05
332;Пропускна спроможність, авто/добу;0.05
333;Термін, міс (примітка);0.05
334;Довжина, пог.м (примітка);0.05
335;Бортові камені, пог.м (примітка);0.05
336;Кількість перехресть, од;0.05
337;Термін, міс;0.05
338;Площа вбудованих, вбудовано-прибудованих та прибудованих приміщень, м2 (примітка);0.05
339;Загальна площа вбудовано-прибудованих приміщень, м2 (примітка);0.05
340;Граничне експлуатаційне значення навантажень для  конструкцій покриття, кг/м2;0.04
341;Відсоток готовності об'єкта,;0.04
342;Загальна кількість машиномісць, од (примітка);0.04
343;Потужність струмоприймачів, кВт/МВт;0.04
344;Рекомендована періодичність планових обстежень, міс (примітка);0.04
345;Ширина тротуару ліворуч за ходом кілометражу, м;0.04
346;Площа проїзної частини, м2;0.04
347;Площа утеплення перекриття, м2;0.04
348;Щільність,;0.04
349;Площа мощення, м2 (примітка);0.04
350;Встановлена потужність котельні, МВт·год;0.04
351;Площа щебеневого, гравійного покриття, м2;0.04
352;Найбільший поздовжній похил, град (примітка);0.04
353;Радіус, м;0.04
354;Довжина ділянки, м (примітка);0.04
355;Кількість машиномісць для постійного зберігання автомобілів, од;0.04
356;Площа квартир у будинку, м2 (примітка);0.04
357;Витрати на охорону навколишнього природного середовища, відновлювальні та компенсаційні заходи, тис. грн (примітка);0.04
358;Річна потреба в газопостачанні, МВт·год (примітка);0.04
359;Дорожня розмітка, м2;0.04
360;Площа забудови , га (примітка);0.04
361;Ширина земляного полотна, м (примітка);0.03
362;Середня швидкість руху автомобільного транспорту, км/год (примітка);0.03
363;Найменший поздовжній похил, град;0.03
364;Вартість основних фондів об’єкту будівництва, тис. грн (примітка);0.03
365;Коефіцієнт, що враховує відносну долю вартості об’єкта повністю втраченого під час аварії, коеф. (примітка);0.03
366;Кількість машиномісць на відведених майданчиках для паркування (в межах проїзної частини вулиці, дороги), од;0.03
367;Річна потреба в сировині та матеріалах, т;0.03
368;Площа вимощення, м2 (примітка);0.03
369;Висота будівлі (абсолютна позначка), м (примітка);0.03
370;Загальна кількість машино-місць на тимчасових стоянках, шт;0.03
371;Питомий показник викидів парникових газів (MCO₂), кг/м2;0.03
372;Питомий показник споживання первинної  енергії (ep), кВт×год/м²;0.03
373;Загальна площа під зеленими насадженнями (озеленення), м2 (примітка);0.03
374;Кількість номерів Апартамент, шт (примітка);0.03
375;Граничне розрахункове значення навантажень для конструкцій перекриттів,;0.03
376;Граничне експлуатаційне значення навантажень для конструкцій перекриттів,;0.03
377;Потужність об'єкта у вартісних показниках, тис. грн;0.03
378;Теплова потужність, Гкал/год;0.03
379;Радіуси горизонтальних кривих, м;0.03
380;Розмітка проїзної частини, м;0.03
381;Питомий показник викидів парникових газів, кг/м2;0.03
382;Питомий показник споживання первинної енергії (ep)-, кВт×год/м²;0.03
383;Щільність, (примітка);0.03
384;Площа місць загального користування, м2 (примітка);0.03
385;Довжина ділянки дороги, що ремонтується, м (примітка);0.03
386;Площа приміщень, що підлягають капітальному ремонту, м2 (примітка);0.03
387;Площа фасадів, м2 (примітка);0.03
388;Витрати на будівельні роботи, тис. грн (примітка);0.03
389;Будівельна довжина вкладання колій, км;0.03
390;Загальна довжина, м (примітка);0.03
391;Встановлена потужність струмоприймачів, кВт (примітка);0.03
392;Кількість машиномісць на спеціально обладнаних майданчиках для паркування, од;0.03
393;Площа тротуарів, м2 (примітка);0.03
394;Дорожні знаки, од;0.03
395;Площа з плитковим покриттям, м2 (примітка);0.03
396;Довжина проектованої ділянки, м (примітка);0.03
397;Довжина огородження, м (примітка);0.03
398;Площа ділянки в межах проектування(проєкту), га (примітка);0.03
399;Річне споживання теплової енергії, Гкал/рік (примітка);0.03
400;Напруга, кВ (примітка);0.03
401;Висота огородження, м (примітка);0.02
402;Габарит по ширині, м;0.02
403;Ширина тротуару ліворуч за ходом кілометражу, м (примітка);0.02
404;Площа підвалу, м2;0.02
405;Пішохідні переходи, од;0.02
406;Споживання,;0.02
407;Споживання, (примітка);0.02
408;Місцеві каналізаційні системи на ділянці, пог.м;0.02
409;Місцеві трубопровідні системи для води та інших продуктів на ділянці, пог.м;0.02
410;Площа під газонами, м2;0.02
411;Ширина тротуару праворуч за ходом кілометражу, м (примітка);0.02
412;Пропускна спроможність, авто/добу (примітка);0.02
413;Загальна протяжність, м (примітка);0.02
414;Загальна площа об'єкта зеленого господарства, м2;0.02
415;Загальний показник питомого енергоспоживання при опалені, кВт×год/м² [кВт×год/м³];0.02
